cge:100768289	CDS	1	Sepsecs; O-phosphoseryl-tRNA(Sec) selenium transferase isoform X2
cge:100767999	CDS	1	Lgi2; leucine-rich repeat LGI family member 2 isoform X2
cge:100764898	CDS	1	Dhx15; pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15 isoform X2
cge:100753651	CDS	1	Ppargc1a; peroxisome proliferator-activated receptor gamma coactivator 1-alpha isoform X1
cge:100753965	CDS	1	Adgra3; adhesion G protein-coupled receptor A3 isoform X2
cge:100755632	CDS	1	Pacrgl; PACRG-like protein isoform X2
cge:100755926	CDS	1	Kv channel-interacting protein 4 isoform X2
cge:100769778	CDS	1	Lcorl; LOW QUALITY PROTEIN: ligand-dependent nuclear receptor corepressor-like protein isoform X7
cge:100767775	CDS	1	Ncapg; condensin complex subunit 3 isoform X1
cge:100768639	CDS	1	Med28; mediator of RNA polymerase II transcription subunit 28
cge:100768932	CDS	1	Lap3; cytosol aminopeptidase
cge:100769495	CDS	1	Qdpr; dihydropteridine reductase
cge:100773655	CDS	1	LIM domain-binding protein 2 isoform X3
cge:100761495	CDS	1	Tapt1; transmembrane anterior posterior transformation protein 1 homolog isoform X2
cge:100773187	CDS	1	Cd38; ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1 isoform X2
cge:100773468	CDS	1	Bst1; ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2
cge:100767719	CDS	1	Cc2d2a; coiled-coil and C2 domain-containing protein 2A isoform X1
cge:100768201	CDS	1	Fbxl5; F-box/LRR-repeat protein 5 isoform X2
cge:100769598	CDS	1	Bod1l1; LOW QUALITY PROTEIN: biorientation of chromosomes in cell division protein 1-like 1 isoform X5
cge:100768166	CDS	1	Nkx3-2; homeobox protein Nkx-3.2 isoform X2
cge:100768737	CDS	1	Rab28; ras-related protein Rab-28 isoform X1
cge:100759378	CDS	1	Hs3st1; heparan sulfate glucosamine 3-O-sulfotransferase 1
cge:100770228	CDS	1	LOW QUALITY PROTEIN: hsc70-interacting protein-like isoform X2
cge:100753279	CDS	1	Wdr1; WD repeat-containing protein 1 isoform X2
cge:113832273	CDS	1	WD repeat-containing protein 1-like
cge:100752981	CDS	1	Slc2a9; solute carrier family 2, facilitated glucose transporter member 9
cge:100773956	CDS	1	Otop1; proton channel OTOP1
cge:100773666	CDS	1	Tmem128; transmembrane protein 128
cge:100773082	CDS	1	Zbtb49; zinc finger and BTB domain-containing protein 49
cge:100773375	CDS	1	Lyar; cell growth-regulating nucleolar protein
cge:100772503	CDS	1	Stx18; syntaxin-18 isoform X2
cge:100772794	CDS	1	Nsg1; neuronal vesicle trafficking-associated protein 1
